0
@RailwaySeva @DrmJhansi @SrdomAgra cant run express trains on time talks about bullet train @PiyushGoyalOffc https://t.co/9WyxF6SXiK
"RT @temsutulaimsong: Big Sewer Rats, Garbage, Bad smell - Features of Railway Stations Earlier. Look at this clip from Old Delhi Railway St…"
"Train No 12956
PNR No 2520583727
S7 के सीट नंबर 70 देने के लिए टीसी 500 रुपए मांग रहा है, कर्प्शन की हद है। अगला स्… https://t.co/PjM3jOFFnF"
@drchintamani @PiyushGoyal @PiyushGoyalOffc @swatantrabjp @byadavbjp @AmitShahOffice @SuhasBhagatBJP @vinay1011… https://t.co/xF5RDIzD0G
"@PiyushGoyal 
@RailMinIndia 
#train18 

Train 18 shakes up $200 billion world market. 

Btw can Indian Railways uti… https://t.co/Rs0w1urBxa"
@narayandodiya25 @drchintamani @PiyushGoyal @PiyushGoyalOffc @swatantrabjp @byadavbjp @AmitShahOffice… https://t.co/1336nUSWJR
"RT @Abumanzar4: @RailMinIndia @RailwaySeva @gmner_gkp @drmbsbner महोदय,NER का सरायमीर(SMZ) रेलवे स्टेशन,मऊ-शाहगंज रेल खण्ड का महत्वपूर्ण स्…"
@RailwaySeva @c2ashish MATTER IS BEING FORWARDED TO @drmmalda
"RT @LogicKilling: @TCGEHLOT @PiyushGoyal @RailMinIndia Sir help EWS.
Give us age and attempt relaxation in xams.
#ageRelaxation4EWS 
#EWSju…"
"RT @ojaswinitish92: @WesternRly @drmbct @RailMinIndia @PiyushGoyalOffc Great....!!!

भारतीय संस्कृति के प्रबल रक्षक Sant Shri Asaram Bapu J…"
"RT @LogicKilling: @TcGehlotOffice @TCGEHLOT @drchintamani @RailMinIndia @WesternRly @Gmwrly Sir help EWS.
Give us age and attempt relaxatio…"
@ojaswinitish92 @WesternRly @drmbct @RailMinIndia @PiyushGoyalOffc Sant Shri Asaram Bapu Ji ने महिलाओं को प्रेरित… https://t.co/LP8tJ44C6X
@KonkanRailway @RailMinIndia Introduce madgoan Vasco kanyakumari daily via Mangalore and shornur. It is long pending demand from both end.
We should rename the madgaon dadar janshatabadi train to janslowabadi the train stops more than it actually moves… https://t.co/FdspGeoC5k
"RT @temsutulaimsong: Big Sewer Rats, Garbage, Bad smell - Features of Railway Stations Earlier. Look at this clip from Old Delhi Railway St…"
"@RailMinIndia No cleaning of coach done. Passenger are forced to use soiled toilet.
PNR No 2158895955
Kindly look into it"
@RailwaySeva @AVIJITSHANKAR @drmcrngp matter noted and forwarded to concerned officials CCI NR CELL and CPS Gwaliuor
"RT @SanchoraBanna: @ACMBCT2 @drmbct @mumbairailusers @MumbaiLocalTrai @WesternRly @RailMinIndia On platform no. 1, Nalasopara Station.
On A…"
"@RailwaySeva @chitransh11 Inconvenience caused is deeply regretted, probe initiated to find reason for failure."
@rpfncrjhs @rpfncr @RailwaySeva @upgrp 8503231570
@GMSRailway @RailMinIndia @PiyushGoyal Extend MAQ Express to CAPE
"RT @temsutulaimsong: Big Sewer Rats, Garbage, Bad smell - Features of Railway Stations Earlier. Look at this clip from Old Delhi Railway St…"
"RT @temsutulaimsong: Big Sewer Rats, Garbage, Bad smell - Features of Railway Stations Earlier. Look at this clip from Old Delhi Railway St…"
@RailMinIndia 16527 train is regularly getting significantly delayed by more than 2 hours from few weeks for reason… https://t.co/tcesqMQLei
RT @RailMinIndia: In Indian Railways Guard play an important role in Train operation: For discharge of his duty Guards were giving 40kg lin…
@RailMinIndia dirt is in its peak at DDU railway station https://t.co/NPaZLGtxf2
RT @PotholeWarriors: @mumbairailusers @Central_Railway @RailMinIndia @PiyushGoyal @Dev_Fadnavis @LocalPressCo @IndianRailMedia @AmhiDombivl…
@drmvijayawada @RailwaySeva @crsescrsc @cnw_vijayawada Plz do the needful on emergency basis as no water n children's r there in coach
RT @dyamannavar: Request @drmsbc @srdcmsbc @srdomsbc @GMSWR @RailwaySeva @SWRRLYto extend Hosur-Yesvanthpur DEMU services upto Tumkur which…
@DrTamilisaiBJP @PiyushGoyal @CoalMinistry @RailMinIndia @BJP4India @BJP4TamilNadu Yella panadaikalum yethuku line… https://t.co/CFR9G1oWv3
"@RailwaySeva @DeepakBadola11 Inconvenience caused is deeply regretted, Kindly share your journey details/PNR no."
"@PiyushGoyalOffc @PiyushGoyal @CMOMaharashtra still no response..
No train yet..
Can call 9371741833"
@RailwaySeva @AkashKu34 Inconvenience regretted.Matter forwarded to respective department for necessary action.
@RailMinIndia Reservation booking counter person at Karmelaram station in Bangalore yesterday around 11 AM was very… https://t.co/jnCZEPbQv2
@RailwaySeva @VijeeshCTK ALREADY INFORMED CONCERNED SIR.
@WesternRly @drmadiwr @RailMinIndia @RatlamDRM @DRMBRCWR @PiyushGoyal PNR No. 8438325251. Train 19310/ Indore - Gan… https://t.co/WN7xDqRM0A
"@rpfnwrjp @RpfNwr @RailwaySeva @DrSinhaa @rpfnrdliwest As per on board electric staff no, suffocation in coach AC.… https://t.co/JJv239NGeI"
